dataset,profile,stage,candidate_count,SF_recall,SF_precision,SF_f1,answer_hit,answer_bearing_density
hotpotqa,unified_acr_rcedr_v12,S1_proposal,68.8,0.9049999999999998,0.031044668221115037,0.059787061266597094,0.84,0.03299414609846408
hotpotqa,unified_acr_rcedr_v12,S2_phase1,23.97,0.5556666666666666,0.05160819030521825,0.09381344401373438,0.53,0.046035869683014485
hotpotqa,unified_acr_rcedr_v12,S3_local_refinement,17.08,0.5065000000000001,0.07414071386037134,0.12596285343563612,0.52,0.04702473898082433
hotpotqa,unified_acr_rcedr_v12,S4_sentence,16.53,0.5948333333333334,0.08281000277709452,0.1432662354531244,0.65,0.07224622524180672
hotpotqa,unified_acr_rcedr_v12,S5_selected,7.9,0.48150000000000004,0.13666666666666666,0.21010576411892182,0.53,0.10064285714285713
hotpotqa,unified_acr_rcedr_v12,S6_rendered,7.9,0.48150000000000004,0.13666666666666666,0.21010576411892182,0.53,0.10064285714285713
hotpotqa,unified_acr_rcedr_v12_early_collapse_recovery,S1_proposal,68.79,0.9049999999999998,0.031051994690230126,0.059800825624014696,0.84,0.03299931490363289
hotpotqa,unified_acr_rcedr_v12_early_collapse_recovery,S2_phase1,23.99,0.5556666666666666,0.05158071777774573,0.09376582496611534,0.53,0.04600839715554196
hotpotqa,unified_acr_rcedr_v12_early_collapse_recovery,S3_local_refinement,17.89,0.5153333333333334,0.07214249445458269,0.12346479294729995,0.52,0.045647938140003536
hotpotqa,unified_acr_rcedr_v12_early_collapse_recovery,S4_sentence,16.76,0.5961666666666666,0.08158436239866777,0.14155517084059446,0.63,0.06933538450526604
hotpotqa,unified_acr_rcedr_v12_early_collapse_recovery,S5_selected,7.89,0.48700000000000004,0.13732142857142857,0.21163800965116736,0.54,0.1025595238095238
hotpotqa,unified_acr_rcedr_v12_early_collapse_recovery,S6_rendered,7.89,0.48700000000000004,0.13732142857142857,0.21163800965116736,0.54,0.1025595238095238
2wikimultihopqa,unified_acr_rcedr_v12,S1_proposal,69.89,0.6875,0.027314648496004068,0.05207413327228656,0.65,0.03472850163260549
2wikimultihopqa,unified_acr_rcedr_v12,S2_phase1,23.33,0.5675,0.06299369389790131,0.11197665985473666,0.52,0.05142528293834661
2wikimultihopqa,unified_acr_rcedr_v12,S3_local_refinement,16.24,0.48,0.0851981142085044,0.14035444405817243,0.41,0.03690981790826993
2wikimultihopqa,unified_acr_rcedr_v12,S4_sentence,16.52,0.59,0.09397439747028516,0.15842873872215527,0.54,0.05844616654925912
2wikimultihopqa,unified_acr_rcedr_v12,S5_selected,7.93,0.4225,0.12860714285714286,0.19361471861471852,0.41,0.06467857142857143
2wikimultihopqa,unified_acr_rcedr_v12,S6_rendered,7.93,0.4225,0.12860714285714286,0.19361471861471852,0.41,0.06467857142857143
2wikimultihopqa,unified_acr_rcedr_v12_early_collapse_recovery,S1_proposal,69.86,0.6875,0.02738333410745284,0.052189377128563426,0.65,0.03474508370510862
2wikimultihopqa,unified_acr_rcedr_v12_early_collapse_recovery,S2_phase1,23.33,0.5675,0.06299369389790131,0.11197665985473666,0.52,0.05142528293834661
2wikimultihopqa,unified_acr_rcedr_v12_early_collapse_recovery,S3_local_refinement,16.55,0.4725,0.08345676204215222,0.1377104293138159,0.42,0.03836512240769207
2wikimultihopqa,unified_acr_rcedr_v12_early_collapse_recovery,S4_sentence,16.61,0.5925,0.09370239937893725,0.15819646822681213,0.55,0.060950036561256075
2wikimultihopqa,unified_acr_rcedr_v12_early_collapse_recovery,S5_selected,7.94,0.43,0.13077380952380951,0.1969242424242423,0.42,0.06851190476190476
2wikimultihopqa,unified_acr_rcedr_v12_early_collapse_recovery,S6_rendered,7.94,0.43,0.13077380952380951,0.1969242424242423,0.42,0.06851190476190476
