dataset,sample_id,num_phase1_shortlist_before,num_phase1_shortlist_after,phase1_reserve_added,phase1_reserve_triggered,reserve_candidate_id,reserve_candidate_type,reserve_source_run_id,reserve_source_seed_id,reserve_reason,reserve_score,reserve_rank_before_reserve,reserve_rank_after_reserve,reserve_in_phase1_shortlist,reserve_reaches_phase2,reserve_has_sentence_candidates,reserve_enters_ABR_candidate_pool,reserve_ABR_score,reserve_ABR_rank,reserve_selected_by_ABR,reserve_rendered,reserve_forced_selected,reserve_forced_rendered,selected_because_of_forced_pin,phase1_reserve_seed_or_run_id,phase1_reserve_reason,phase1_reserve_score,phase1_reserve_reaches_phase2,phase1_reserve_has_sentence_candidates,phase1_reserve_selected_by_ABR,phase1_reserve_rendered
hotpotqa,5abe953b5542993f32c2a170,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5ab69f9a554299710c8d1ef8,2,3,True,True,American Humane Association::1,unknown,1,,nonredundant_best;seed_jacc=0.333;semantic=0.863;graph=0.316;bridge=1.000;hybrid=0.610,0.6855970036037136,-1,-1,True,True,True,True,,,True,True,False,False,False,1,nonredundant_best;seed_jacc=0.333;semantic=0.863;graph=0.316;bridge=1.000;hybrid=0.610,0.6855970036037136,True,True,True,True
hotpotqa,5abc030e554299642a094bdc,2,3,True,True,Adegoke Adelabu::0,unknown,3,,nonredundant_best;seed_jacc=0.600;semantic=0.866;graph=0.320;bridge=1.000;hybrid=0.618,0.6626554712699589,-1,-1,True,True,True,True,,,True,True,False,False,False,3,nonredundant_best;seed_jacc=0.600;semantic=0.866;graph=0.320;bridge=1.000;hybrid=0.618,0.6626554712699589,True,True,True,True
hotpotqa,5ae6c2285542995703ce8b9a,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5ab57fc4554299488d4d99c0,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5ade9c9c5542997c77adee8c,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5a749af055429979e28829b7,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5ae1389655429901ffe4ae05,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5adcd4325542994d58a2f6ed,2,3,True,True,Acclimatisation society::0,unknown,2,,nonredundant_best;seed_jacc=0.600;semantic=0.874;graph=0.496;bridge=1.000;hybrid=0.654,0.7102828549113956,-1,-1,True,True,True,True,,,True,True,False,False,False,2,nonredundant_best;seed_jacc=0.600;semantic=0.874;graph=0.496;bridge=1.000;hybrid=0.654,0.7102828549113956,True,True,True,True
hotpotqa,5a85c3225542992a431d1b95,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5ab94bc2554299743d22eacf,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5ae1f17e554299234fd04349,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5ab3cecd5542992ade7c6eae,2,3,True,True,Acclimatisation society::0,unknown,3,,nonredundant_best;seed_jacc=0.600;semantic=0.849;graph=0.394;bridge=1.000;hybrid=0.617,0.67383807869867,-1,-1,True,True,True,True,,,True,True,False,False,False,3,nonredundant_best;seed_jacc=0.600;semantic=0.849;graph=0.394;bridge=1.000;hybrid=0.617,0.67383807869867,True,True,True,True
hotpotqa,5a8835dc5542994846c1ce2b,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5a714dea5542994082a3e7a9,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5a8481945542997175ce1ed3,2,3,True,True,Arrival (Journey album)::0,unknown,0,,nonredundant_best;seed_jacc=0.143;semantic=0.877;graph=0.273;bridge=1.000;hybrid=0.582,0.6902382578516382,-1,-1,True,True,True,True,,,True,True,False,False,False,0,nonredundant_best;seed_jacc=0.143;semantic=0.877;graph=0.273;bridge=1.000;hybrid=0.582,0.6902382578516382,True,True,True,True
hotpotqa,5a84574455429933447460e6,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5a72b2dc5542992359bc3173,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5a7a3a945542996a35c17147,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5ade86b255429939a52fe8e0,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5a8f5b6f554299458435d5e7,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5ae40d405542996836b02c28,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5a72334755429971e9dc934c,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5ab8829d55429934fafe6e08,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5a7b1c0a55429931da12c9c9,2,3,True,True,2008–09 Copa America (indoor)::1,unknown,0,,nonredundant_best;seed_jacc=0.600;semantic=0.853;graph=0.323;bridge=1.000;hybrid=0.610,0.6580715270786194,-1,-1,True,True,True,True,,,True,True,False,False,False,0,nonredundant_best;seed_jacc=0.600;semantic=0.853;graph=0.323;bridge=1.000;hybrid=0.610,0.6580715270786194,True,True,True,True
hotpotqa,5ae40b2b55429970de88d8b3,2,3,True,True,AirAsia::1,unknown,3,,nonredundant_best;seed_jacc=0.600;semantic=0.865;graph=0.376;bridge=1.000;hybrid=0.637,0.6792819331948453,-1,-1,True,True,True,True,,,True,True,False,False,False,3,nonredundant_best;seed_jacc=0.600;semantic=0.865;graph=0.376;bridge=1.000;hybrid=0.637,0.6792819331948453,True,True,True,True
hotpotqa,5ab29c24554299449642c932,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5ae26fad554299495565da6f,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5a7542425542996c70cfaecc,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5adecc7755429975fa854f9d,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5abff9905542997d64295980,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5ab5f372554299488d4d9a60,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5a7558425542992db9473647,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5a72f45a5542992359bc31e6,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5a83411655429966c78a6b5d,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5a77aa095542995d83181260,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5ae680cc5542996d980e7ba5,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5ae4d3c95542990ba0bbb165,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5a790d8f554299029c4b5eec,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
hotpotqa,5a717d4c5542994082a3e854,2,2,False,False,,unknown,-1,,,0.0,-1,-1,False,False,False,False,,,False,False,False,False,False,-1,,0.0,False,False,False,False
